account_id,customer_id,account_type,opened_date,account_status
A0000330,C000230,Savings,2025-03-21,Active
A0000331,C000231,Current,2025-04-27,Active
A0000332,C000232,Current,2018-02-13,Active
A0000333,C000232,Credit Card,2018-02-13,Active
A0000334,C000233,Savings,2021-07-17,Active
A0000335,C000234,Credit Card,2024-11-15,Active
A0000336,C000235,Current,2024-10-24,Active
A0000337,C000235,Current,2024-10-24,Active
A0000338,C000236,Current,2024-03-04,Active
A0000339,C000237,Current,2025-03-17,Active
A0000340,C000238,Savings,2020-06-17,Active
A0000341,C000238,Savings,2020-06-17,Active
A0000342,C000239,Current,2024-11-08,Active
A0000343,C000240,Current,2024-05-16,Active
A0000344,C000240,Current,2024-05-16,Active
A0000345,C000241,Savings,2024-05-19,Active
A0000346,C000242,Current,2019-05-13,Active
A0000347,C000243,Current,2020-08-07,Active
A0000348,C000244,Current,2021-04-26,Active
A0000349,C000244,Current,2021-04-26,Active
A0000350,C000245,Current,2018-11-18,Dormant
A0000351,C000245,Current,2018-11-18,Dormant
A0000352,C000246,Current,2021-05-01,Active
A0000353,C000246,Savings,2021-05-01,Active
A0000354,C000247,Current,2021-10-13,Active
A0000355,C000248,Savings,2018-09-25,Active
A0000356,C000249,Current,2019-06-12,Active
A0000357,C000249,Savings,2019-06-12,Active
A0000358,C000250,Current,2020-05-07,Active
A0000359,C000250,Current,2020-05-07,Active
A0000360,C000250,Credit Card,2020-05-07,Active
A0000361,C000251,Current,2020-09-16,Active
A0000362,C000252,Current,2023-02-05,Active
A0000363,C000253,Current,2024-12-21,Active
A0000364,C000254,Savings,2019-06-11,Active
A0000365,C000255,Savings,2021-10-01,Active
A0000366,C000256,Savings,2024-04-17,Active
A0000367,C000257,Savings,2018-10-02,Active
A0000368,C000257,Savings,2018-10-02,Active
A0000369,C000258,Current,2018-01-29,Active
A0000370,C000258,Credit Card,2018-01-29,Active
A0000371,C000259,Current,2020-03-04,Active
A0000372,C000260,Current,2021-11-10,Active
A0000373,C000261,Current,2022-03-29,Active
A0000374,C000262,Savings,2025-08-29,Active
A0000375,C000262,Savings,2025-08-29,Active
A0000376,C000263,Credit Card,2022-06-17,Active
A0000377,C000264,Credit Card,2020-03-14,Active
A0000378,C000265,Current,2022-08-05,Active
A0000379,C000266,Current,2024-04-29,Active
A0000380,C000267,Savings,2021-03-27,Active
A0000381,C000268,Current,2024-10-15,Dormant
A0000382,C000269,Current,2018-11-13,Active
A0000383,C000270,Current,2019-03-25,Active
A0000384,C000271,Current,2018-04-16,Active
A0000385,C000271,Current,2018-04-16,Active
A0000386,C000271,Current,2018-04-16,Active
A0000387,C000272,Savings,2024-09-07,Active
A0000388,C000273,Savings,2022-04-18,Active
A0000389,C000274,Current,2023-10-03,Active
A0000390,C000275,Credit Card,2022-06-22,Active
A0000391,C000276,Current,2020-04-14,Active
A0000392,C000277,Savings,2025-07-16,Active
A0000393,C000278,Current,2021-12-26,Active
A0000394,C000279,Current,2019-08-01,Active
A0000395,C000279,Current,2019-08-01,Active
A0000396,C000280,Current,2023-05-23,Dormant
A0000397,C000281,Current,2022-02-09,Active
A0000398,C000282,Savings,2025-08-26,Active
A0000399,C000283,Current,2018-09-14,Active
A0000400,C000284,Current,2024-07-23,Active
A0000401,C000285,Savings,2025-01-10,Active
A0000402,C000286,Savings,2020-03-18,Active
A0000403,C000287,Savings,2024-05-17,Active
A0000404,C000288,Credit Card,2021-12-22,Active
A0000405,C000288,Current,2021-12-22,Active
A0000406,C000289,Current,2023-06-11,Active
A0000407,C000290,Current,2020-08-08,Active
A0000408,C000290,Current,2020-08-08,Active
A0000409,C000291,Savings,2024-02-09,Active
A0000410,C000292,Savings,2023-12-18,Active
A0000411,C000293,Savings,2023-08-23,Active
A0000412,C000294,Credit Card,2022-03-29,Active
A0000413,C000294,Current,2022-03-29,Active
A0000414,C000295,Credit Card,2025-03-07,Active
A0000415,C000295,Credit Card,2025-03-07,Active
A0000416,C000296,Credit Card,2023-02-10,Active
A0000417,C000297,Savings,2018-05-11,Closed
A0000418,C000298,Savings,2024-08-03,Active
A0000419,C000299,Current,2021-05-01,Active
A0000420,C000300,Current,2021-09-03,Active
A0000421,C000300,Savings,2021-09-03,Active
A0000422,C000300,Savings,2021-09-03,Dormant
A0000423,C000301,Credit Card,2021-05-21,Active
A0000424,C000302,Savings,2021-07-31,Active
A0000425,C000303,Credit Card,2018-09-29,Active
A0000426,C000304,Credit Card,2019-01-17,Active
A0000427,C000304,Savings,2019-01-17,Active
A0000428,C000304,Current,2019-01-17,Active
A0000429,C000305,Current,2019-10-22,Active
A0000430,C000306,Current,2022-10-28,Active
A0000431,C000307,Current,2024-09-09,Active
A0000432,C000307,Credit Card,2024-09-09,Active
A0000433,C000308,Current,2019-07-09,Active
A0000434,C000308,Current,2019-07-09,Active
A0000435,C000309,Credit Card,2019-06-15,Active
A0000436,C000310,Savings,2023-05-12,Dormant
A0000437,C000311,Current,2021-12-08,Active
A0000438,C000311,Current,2021-12-08,Dormant
A0000439,C000311,Current,2021-12-08,Active
A0000440,C000312,Savings,2018-01-02,Active
A0000441,C000313,Current,2025-01-09,Active
A0000442,C000314,Savings,2025-05-07,Active
A0000443,C000314,Current,2025-05-07,Active
A0000444,C000314,Savings,2025-05-07,Active
A0000445,C000315,Savings,2024-08-21,Active
A0000446,C000315,Current,2024-08-21,Active
A0000447,C000316,Current,2020-03-09,Active
A0000448,C000317,Current,2022-01-10,Active
A0000449,C000317,Current,2022-01-10,Active
A0000450,C000318,Current,2019-12-05,Active
A0000451,C000318,Savings,2019-12-05,Active
A0000452,C000319,Savings,2024-04-25,Active
A0000453,C000320,Current,2019-12-20,Active
A0000454,C000320,Current,2019-12-20,Active
A0000455,C000321,Current,2025-08-30,Active
A0000456,C000322,Current,2019-07-22,Active
A0000457,C000322,Savings,2019-07-22,Active
A0000458,C000323,Current,2025-03-20,Active
A0000459,C000323,Current,2025-03-20,Active
A0000460,C000323,Current,2025-03-20,Active
A0000461,C000324,Savings,2019-04-14,Active
A0000462,C000325,Current,2023-02-03,Active
A0000463,C000325,Savings,2023-02-03,Active
A0000464,C000326,Current,2023-01-14,Active
A0000465,C000326,Current,2023-01-14,Active
A0000466,C000327,Current,2020-11-17,Active
A0000467,C000328,Credit Card,2025-05-19,Active
A0000468,C000329,Savings,2022-11-22,Active
A0000469,C000330,Savings,2024-09-16,Active
A0000470,C000330,Savings,2024-09-16,Active
A0000471,C000331,Current,2022-11-09,Active
A0000472,C000332,Credit Card,2022-02-07,Dormant
A0000473,C000332,Savings,2022-02-07,Active
A0000474,C000332,Current,2022-02-07,Active
A0000475,C000333,Credit Card,2022-03-20,Active
A0000476,C000334,Current,2019-08-31,Active
A0000477,C000335,Current,2021-11-06,Active
A0000478,C000336,Credit Card,2024-08-19,Active
A0000479,C000337,Credit Card,2019-02-01,Active
A0000480,C000338,Savings,2018-01-23,Active
A0000481,C000338,Current,2018-01-23,Active
A0000482,C000339,Savings,2025-04-09,Active
A0000483,C000340,Savings,2022-06-16,Active
A0000484,C000340,Savings,2022-06-16,Active
A0000485,C000341,Savings,2025-01-29,Active
A0000486,C000342,Credit Card,2024-09-28,Active
A0000487,C000343,Current,2019-01-26,Active
A0000488,C000344,Credit Card,2018-03-03,Active
A0000489,C000345,Current,2023-03-05,Active
A0000490,C000345,Savings,2023-03-05,Active
A0000491,C000346,Current,2018-11-03,Closed
A0000492,C000346,Current,2018-11-03,Active
A0000493,C000347,Current,2023-01-09,Active
A0000494,C000347,Current,2023-01-09,Active
A0000495,C000348,Credit Card,2024-09-12,Active
A0000496,C000348,Current,2024-09-12,Active
A0000497,C000349,Savings,2024-01-19,Active
A0000498,C000349,Savings,2024-01-19,Active
A0000499,C000350,Savings,2024-01-27,Active
A0000500,C000351,Savings,2025-04-16,Active
A0000501,C000351,Credit Card,2025-04-16,Active
A0000502,C000351,Credit Card,2025-04-16,Active
A0000503,C000352,Current,2019-10-17,Active
A0000504,C000352,Savings,2019-10-17,Active
A0000505,C000353,Current,2025-08-17,Active
A0000506,C000354,Current,2019-06-13,Active
A0000507,C000355,Current,2024-01-09,Active
A0000508,C000355,Current,2024-01-09,Dormant
A0000509,C000356,Current,2020-09-16,Active
A0000510,C000356,Current,2020-09-16,Active
A0000511,C000357,Current,2025-03-23,Active
A0000512,C000358,Current,2023-10-24,Active
A0000513,C000359,Current,2021-02-21,Active
A0000514,C000360,Current,2022-01-11,Active
A0000515,C000360,Savings,2022-01-11,Dormant
A0000516,C000361,Savings,2024-10-25,Dormant
A0000517,C000362,Current,2022-11-07,Active
A0000518,C000362,Savings,2022-11-07,Active
A0000519,C000363,Current,2019-08-03,Active
A0000520,C000364,Current,2021-01-11,Active
A0000521,C000364,Current,2021-01-11,Active
A0000522,C000365,Savings,2018-01-26,Active
A0000523,C000365,Current,2018-01-26,Active
A0000524,C000366,Credit Card,2018-12-24,Active
A0000525,C000367,Current,2023-10-10,Active
A0000526,C000368,Current,2019-07-01,Active
A0000527,C000368,Savings,2019-07-01,Active
A0000528,C000369,Savings,2022-09-14,Active
A0000529,C000370,Savings,2025-01-17,Active
A0000530,C000370,Current,2025-01-17,Active
A0000531,C000371,Current,2025-05-14,Closed
A0000532,C000372,Current,2023-08-25,Active
A0000533,C000373,Current,2018-10-10,Active
A0000534,C000374,Current,2018-04-07,Active
A0000535,C000374,Current,2018-04-07,Active
A0000536,C000375,Current,2021-04-14,Active
A0000537,C000376,Current,2023-03-23,Active
A0000538,C000377,Current,2021-09-08,Active
A0000539,C000378,Credit Card,2022-10-22,Active
A0000540,C000379,Savings,2020-04-05,Active
A0000541,C000380,Current,2020-05-20,Active
A0000542,C000381,Current,2020-04-16,Active
A0000543,C000382,Current,2022-11-12,Active
A0000544,C000383,Current,2023-11-02,Active
A0000545,C000384,Credit Card,2025-06-06,Active
A0000546,C000385,Savings,2018-01-18,Active
A0000547,C000385,Current,2018-01-18,Active
A0000548,C000386,Current,2022-08-10,Active
A0000549,C000387,Current,2020-07-12,Active
A0000550,C000388,Current,2023-09-04,Active
A0000551,C000389,Current,2023-12-13,Active
A0000552,C000389,Savings,2023-12-13,Active
A0000553,C000390,Current,2024-06-16,Active
A0000554,C000390,Savings,2024-06-16,Active
A0000555,C000391,Current,2018-10-22,Active
A0000556,C000392,Savings,2019-12-02,Active
A0000557,C000392,Current,2019-12-02,Active
A0000558,C000393,Savings,2019-05-11,Active
A0000559,C000393,Credit Card,2019-05-11,Active
A0000560,C000393,Savings,2019-05-11,Active
A0000561,C000394,Current,2023-10-19,Active
A0000562,C000395,Savings,2025-01-26,Active
A0000563,C000396,Savings,2021-11-26,Active
A0000564,C000397,Savings,2022-09-05,Active
A0000565,C000398,Savings,2019-12-31,Active
A0000566,C000399,Savings,2021-11-24,Active
A0000567,C000399,Credit Card,2021-11-24,Active
A0000568,C000400,Current,2018-07-04,Closed
A0000569,C000401,Current,2025-04-17,Active
A0000570,C000402,Savings,2018-03-04,Active
A0000571,C000403,Savings,2022-05-15,Active
A0000572,C000403,Savings,2022-05-15,Active
A0000573,C000403,Credit Card,2022-05-15,Dormant
A0000574,C000404,Savings,2022-07-12,Active
A0000575,C000405,Current,2024-09-17,Active
A0000576,C000406,Savings,2018-12-06,Active
A0000577,C000407,Current,2019-01-10,Active
A0000578,C000408,Current,2021-12-20,Closed
A0000579,C000408,Current,2021-12-20,Active
A0000580,C000409,Savings,2024-02-11,Closed
A0000581,C000409,Current,2024-02-11,Active
A0000582,C000410,Savings,2024-03-22,Active
A0000583,C000411,Current,2020-06-17,Active
A0000584,C000412,Current,2020-08-23,Active
A0000585,C000413,Savings,2022-10-31,Active
A0000586,C000413,Savings,2022-10-31,Active
A0000587,C000414,Current,2019-12-12,Active
A0000588,C000415,Credit Card,2025-01-27,Active
A0000589,C000415,Current,2025-01-27,Active
A0000590,C000416,Savings,2021-11-03,Active
A0000591,C000417,Credit Card,2024-02-10,Active
A0000592,C000418,Current,2022-12-06,Active
A0000593,C000418,Savings,2022-12-06,Active
A0000594,C000419,Current,2025-08-16,Active
A0000595,C000420,Current,2023-01-15,Active
A0000596,C000420,Current,2023-01-15,Active
A0000597,C000421,Current,2020-04-25,Active
A0000598,C000422,Credit Card,2020-11-03,Closed
A0000599,C000423,Savings,2023-06-07,Active
A0000600,C000423,Credit Card,2023-06-07,Active
A0000601,C000424,Current,2019-12-02,Active
A0000602,C000424,Savings,2019-12-02,Active
A0000603,C000425,Credit Card,2020-05-03,Active
A0000604,C000426,Credit Card,2021-02-10,Active
A0000605,C000427,Credit Card,2021-07-05,Active
A0000606,C000428,Current,2025-04-24,Active
A0000607,C000428,Credit Card,2025-04-24,Active
A0000608,C000429,Current,2022-01-13,Active
A0000609,C000430,Current,2024-04-23,Active
A0000610,C000430,Current,2024-04-23,Active
A0000611,C000431,Current,2024-04-28,Active
