loan_id,customer_id,loan_type,principal_amount,interest_rate,loan_status
L000356,C004284,Auto,2500,8.7,Current
L000357,C004373,Home Improvement,2500,11.11,Current
L000358,C000942,Auto,10000,6.29,Current
L000359,C001416,Auto,30000,13.17,Current
L000360,C003927,Auto,20000,9.84,Current
L000361,C002865,Personal,30000,4.8,Current
L000362,C000159,Auto,7500,15.82,Paid Off
L000363,C003548,Auto,15000,7.93,Current
L000364,C000078,Home Improvement,20000,11.54,Current
L000365,C004756,Auto,5000,9.41,Current
L000366,C004087,Personal,15000,17.11,Paid Off
L000367,C003040,Home Improvement,7500,8.09,Current
L000368,C003311,Home Improvement,10000,15.7,Paid Off
L000369,C003055,Home Improvement,5000,13.43,Current
L000370,C000053,Home Improvement,7500,10.29,Current
L000371,C000521,Home Improvement,2500,15.35,Current
L000372,C001734,Home Improvement,2500,11.11,Current
L000373,C000172,Home Improvement,2500,18.26,Current
L000374,C001418,Home Improvement,30000,13.22,Current
L000375,C004704,Personal,2500,8.3,Current
L000376,C000749,Personal,30000,7.71,Current
L000377,C002277,Home Improvement,10000,11.68,Current
L000378,C004168,Auto,30000,6.17,Current
L000379,C003059,Auto,20000,10.37,Current
L000380,C000156,Home Improvement,5000,10.73,Paid Off
L000381,C001003,Personal,7500,17.13,Current
L000382,C003372,Home Improvement,7500,4.09,Paid Off
L000383,C003006,Personal,5000,12.55,Delinquent
L000384,C000086,Personal,5000,16.11,Paid Off
L000385,C003828,Home Improvement,20000,6.12,Delinquent
L000386,C004694,Auto,2500,13.69,Current
L000387,C001213,Auto,30000,5.28,Current
L000388,C001836,Home Improvement,15000,13.55,Current
L000389,C004319,Auto,5000,8.24,Current
L000390,C003591,Personal,7500,9.44,Current
L000391,C004190,Auto,30000,6.82,Current
L000392,C001882,Auto,10000,16.24,Current
L000393,C003554,Home Improvement,5000,14.17,Paid Off
L000394,C003003,Home Improvement,20000,7.76,Current
L000395,C004191,Auto,30000,18.12,Current
L000396,C003605,Personal,7500,11.24,Current
L000397,C001720,Personal,5000,8.86,Current
L000398,C003299,Auto,5000,11.63,Current
L000399,C001540,Auto,15000,7.89,Paid Off
L000400,C002833,Home Improvement,10000,5.03,Current
L000401,C002887,Auto,15000,9.54,Current
L000402,C003837,Personal,15000,11.06,Delinquent
L000403,C003349,Home Improvement,20000,9.1,Current
L000404,C001781,Home Improvement,10000,5.18,Current
L000405,C003248,Personal,30000,14.98,Current
L000406,C004482,Personal,10000,9.47,Current
L000407,C002031,Auto,20000,14.36,Current
L000408,C004381,Personal,15000,14.37,Current
L000409,C004627,Home Improvement,2500,18.18,Current
L000410,C004392,Personal,10000,7.99,Delinquent
L000411,C002115,Home Improvement,15000,15.94,Current
L000412,C003297,Home Improvement,10000,15.01,Current
L000413,C000379,Home Improvement,20000,10.5,Current
L000414,C002296,Home Improvement,30000,6.9,Current
L000415,C001891,Home Improvement,10000,7.6,Current
L000416,C003425,Home Improvement,5000,14.77,Current
L000417,C004109,Personal,7500,5.71,Current
L000418,C004539,Home Improvement,30000,13.42,Delinquent
L000419,C002479,Auto,2500,4.35,Current
L000420,C004571,Home Improvement,2500,4.99,Current
L000421,C001153,Personal,5000,16.34,Current
L000422,C004922,Auto,5000,13.26,Current
L000423,C003390,Auto,30000,18.14,Current
L000424,C004079,Personal,10000,13.34,Paid Off
L000425,C001573,Home Improvement,30000,9.93,Current
L000426,C000188,Home Improvement,15000,8.15,Current
L000427,C002584,Personal,5000,11.61,Paid Off
L000428,C001125,Home Improvement,20000,13.87,Current
L000429,C004211,Home Improvement,20000,12.95,Current
L000430,C004760,Auto,5000,4.53,Paid Off
L000431,C003146,Personal,5000,16.44,Current
L000432,C000167,Personal,15000,9.73,Current
L000433,C003386,Home Improvement,30000,13.96,Paid Off
L000434,C003210,Personal,7500,11.68,Current
L000435,C003547,Personal,15000,16.55,Current
L000436,C003749,Auto,7500,6.72,Delinquent
L000437,C004934,Auto,20000,14.51,Current
L000438,C003620,Personal,15000,4.94,Delinquent
L000439,C002878,Home Improvement,15000,15.99,Current
L000440,C002502,Personal,30000,7.47,Paid Off
L000441,C002840,Personal,15000,4.64,Paid Off
L000442,C002951,Personal,15000,4.29,Current
L000443,C004014,Personal,2500,10.63,Current
L000444,C000859,Auto,10000,8.57,Paid Off
L000445,C004688,Home Improvement,30000,16.66,Current
L000446,C004160,Personal,2500,10.62,Current
L000447,C001491,Home Improvement,2500,5.81,Paid Off
L000448,C004059,Auto,10000,16.42,Current
L000449,C004880,Personal,20000,17.67,Current
L000450,C004730,Auto,30000,8.38,Paid Off
L000451,C003125,Auto,5000,10.72,Paid Off
L000452,C001447,Personal,10000,4.07,Current
L000453,C001583,Home Improvement,30000,5.96,Current
L000454,C001865,Home Improvement,7500,13.0,Current
L000455,C001251,Home Improvement,2500,17.86,Current
L000456,C004278,Personal,15000,9.12,Current
L000457,C002341,Auto,5000,13.08,Current
L000458,C004805,Personal,10000,14.76,Current
L000459,C004719,Auto,2500,16.07,Current
L000460,C001047,Personal,15000,13.18,Current
L000461,C002884,Auto,10000,6.79,Delinquent
L000462,C002814,Personal,30000,12.82,Current
L000463,C001179,Personal,30000,10.86,Current
L000464,C001303,Auto,10000,18.17,Current
L000465,C002626,Auto,7500,17.41,Current
L000466,C003560,Auto,15000,9.81,Current
L000467,C001670,Home Improvement,5000,16.42,Current
L000468,C002698,Home Improvement,15000,16.36,Current
L000469,C002432,Auto,15000,10.46,Paid Off
L000470,C001465,Auto,10000,9.77,Current
L000471,C002895,Auto,15000,17.56,Current
L000472,C000118,Auto,5000,18.43,Current
L000473,C003278,Personal,15000,9.1,Paid Off
L000474,C002326,Personal,20000,8.6,Paid Off
L000475,C001977,Auto,15000,7.06,Current
L000476,C002063,Auto,7500,10.7,Current
L000477,C000526,Personal,15000,4.92,Paid Off
L000478,C004920,Auto,10000,12.28,Current
L000479,C000771,Home Improvement,2500,4.06,Current
L000480,C004330,Personal,30000,18.48,Current
L000481,C001269,Personal,15000,3.57,Paid Off
L000482,C004376,Home Improvement,2500,8.53,Current
L000483,C000919,Home Improvement,5000,6.28,Current
L000484,C000884,Personal,5000,15.42,Paid Off
L000485,C001570,Home Improvement,10000,7.34,Current
L000486,C001482,Personal,20000,11.65,Paid Off
L000487,C002260,Personal,15000,16.44,Current
L000488,C001337,Auto,20000,6.83,Current
L000489,C001165,Auto,2500,4.32,Current
L000490,C002299,Auto,7500,13.34,Current
L000491,C000252,Auto,30000,12.79,Paid Off
L000492,C001064,Personal,5000,9.91,Paid Off
L000493,C002653,Home Improvement,7500,5.93,Paid Off
L000494,C002590,Home Improvement,10000,14.39,Current
L000495,C004462,Personal,5000,10.71,Paid Off
L000496,C001511,Auto,30000,18.13,Current
L000497,C003624,Home Improvement,7500,17.63,Delinquent
L000498,C003911,Personal,30000,14.87,Current
L000499,C000015,Auto,2500,3.69,Current
L000500,C001361,Auto,15000,9.21,Paid Off
L000501,C000629,Home Improvement,5000,12.07,Current
L000502,C000967,Home Improvement,30000,12.67,Current
L000503,C003672,Home Improvement,20000,15.21,Paid Off
L000504,C001626,Auto,7500,9.05,Current
L000505,C002244,Auto,2500,8.62,Current
L000506,C000864,Home Improvement,30000,9.64,Current
L000507,C004865,Personal,2500,3.78,Current
L000508,C000887,Auto,15000,17.78,Current
L000509,C004580,Home Improvement,30000,10.4,Current
L000510,C003135,Personal,20000,15.65,Current
L000511,C001952,Auto,30000,3.97,Current
L000512,C001298,Home Improvement,15000,13.22,Current
L000513,C001072,Auto,7500,8.52,Current
L000514,C000941,Auto,10000,5.78,Current
L000515,C000253,Personal,15000,16.57,Paid Off
L000516,C004325,Home Improvement,7500,6.38,Paid Off
L000517,C003910,Home Improvement,2500,5.5,Current
L000518,C002624,Auto,7500,10.58,Current
L000519,C003418,Auto,30000,5.67,Current
L000520,C003329,Home Improvement,5000,12.8,Current
L000521,C003751,Auto,10000,5.55,Current
L000522,C004709,Personal,30000,4.63,Paid Off
L000523,C003644,Personal,30000,10.26,Current
L000524,C001963,Personal,20000,11.21,Current
L000525,C004350,Auto,20000,17.93,Current
L000526,C002690,Home Improvement,20000,17.84,Current
L000527,C000071,Home Improvement,15000,11.68,Current
L000528,C002765,Home Improvement,30000,17.57,Current
L000529,C004320,Home Improvement,30000,4.11,Current
L000530,C000060,Personal,7500,16.94,Paid Off
L000531,C004144,Home Improvement,7500,13.65,Current
L000532,C001299,Auto,7500,7.71,Current
L000533,C001627,Home Improvement,30000,8.15,Delinquent
L000534,C004175,Personal,30000,5.47,Delinquent
L000535,C001834,Personal,15000,15.51,Current
L000536,C003014,Auto,5000,12.42,Current
L000537,C003416,Home Improvement,20000,10.69,Current
L000538,C003857,Home Improvement,15000,17.03,Paid Off
L000539,C000897,Auto,20000,13.18,Current
L000540,C004500,Home Improvement,10000,6.28,Current
L000541,C001483,Home Improvement,15000,12.58,Current
L000542,C000039,Auto,30000,9.89,Paid Off
L000543,C003219,Personal,10000,6.91,Current
L000544,C003713,Home Improvement,30000,14.76,Current
L000545,C004019,Auto,7500,5.49,Paid Off
L000546,C001185,Auto,30000,17.97,Current
L000547,C004418,Personal,20000,6.86,Current
L000548,C003360,Home Improvement,20000,4.34,Current
L000549,C003109,Personal,15000,17.05,Current
L000550,C004443,Auto,15000,8.35,Current
L000551,C003791,Auto,2500,5.21,Current
L000552,C003481,Personal,5000,18.36,Paid Off
L000553,C000686,Auto,20000,7.05,Current
L000554,C002205,Home Improvement,2500,17.5,Current
L000555,C004828,Home Improvement,5000,15.73,Current
L000556,C002709,Auto,30000,10.12,Paid Off
L000557,C003717,Auto,7500,12.86,Paid Off
L000558,C001579,Personal,5000,16.57,Current
L000559,C004100,Personal,2500,17.67,Paid Off
L000560,C003705,Personal,7500,6.19,Current
L000561,C003447,Home Improvement,5000,9.41,Paid Off
L000562,C001757,Home Improvement,7500,15.35,Current
L000563,C001218,Personal,7500,12.51,Current
L000564,C004334,Home Improvement,7500,11.33,Current
L000565,C003654,Personal,7500,8.34,Current
L000566,C004525,Home Improvement,2500,14.41,Current
L000567,C000691,Personal,5000,18.38,Current
L000568,C004696,Home Improvement,15000,14.66,Current
L000569,C002136,Home Improvement,30000,3.73,Current
L000570,C002302,Personal,15000,9.12,Paid Off
L000571,C000889,Auto,30000,7.1,Current
L000572,C003153,Home Improvement,20000,14.99,Paid Off
L000573,C000425,Home Improvement,20000,10.58,Current
L000574,C001204,Personal,10000,7.17,Current
L000575,C001725,Personal,10000,16.14,Current
L000576,C003877,Auto,2500,5.95,Current
L000577,C002756,Home Improvement,10000,10.54,Delinquent
L000578,C001009,Auto,7500,4.78,Current
L000579,C000590,Home Improvement,2500,10.2,Current
L000580,C004681,Auto,7500,11.87,Current
L000581,C004847,Home Improvement,30000,12.48,Current
L000582,C001173,Auto,10000,7.69,Current
L000583,C002234,Home Improvement,7500,6.24,Current
L000584,C004834,Auto,2500,14.52,Current
L000585,C000688,Home Improvement,10000,15.31,Current
L000586,C004561,Home Improvement,15000,15.23,Paid Off
L000587,C000254,Home Improvement,7500,12.96,Current
