Date,Year,Quarter,Month,BusinessUnit,Region,RecordID,Revenue,GrossProfit,Expenses,NetProfit,OperatingCashFlow
2024-02-28,2024,Q1,Feb,Consumer,Asia Pacific,FIN-1055,38246.25,17593.28,26351.67,11894.58,13226.77
2024-02-28,2024,Q1,Feb,Other,Latin America,FIN-1056,25556.25,11755.88,17608.26,7947.99,8838.16
2024-03-28,2024,Q1,Mar,Corporate,North America,FIN-1057,67252.3,30936.06,46336.83,20915.47,23258.0
2024-03-28,2024,Q1,Mar,Commercial,Europe,FIN-1058,55690.3,25617.54,38370.62,17319.68,19259.48
2024-03-28,2024,Q1,Mar,Consumer,Asia Pacific,FIN-1059,41815.9,19235.31,28811.16,13004.74,14461.27
2024-03-28,2024,Q1,Mar,Other,Latin America,FIN-1060,27941.5,12853.09,19251.69,8689.81,9663.07
2024-04-28,2024,Q2,Apr,Corporate,North America,FIN-1061,59870.95,27540.64,41251.08,18619.87,20705.3
2024-04-28,2024,Q2,Apr,Commercial,Europe,FIN-1062,49577.95,22805.86,34159.21,15418.74,17145.64
2024-04-28,2024,Q2,Apr,Consumer,Asia Pacific,FIN-1063,37226.35,17124.12,25648.96,11577.39,12874.06
2024-04-28,2024,Q2,Apr,Other,Latin America,FIN-1064,24874.75,11442.39,17138.7,7736.05,8602.49
2024-05-28,2024,Q2,May,Corporate,North America,FIN-1065,67252.3,30936.06,46336.83,20915.47,23258.0
2024-05-28,2024,Q2,May,Commercial,Europe,FIN-1066,55690.3,25617.54,38370.62,17319.68,19259.48
2024-05-28,2024,Q2,May,Consumer,Asia Pacific,FIN-1067,41815.9,19235.31,28811.16,13004.74,14461.27
2024-05-28,2024,Q2,May,Other,Latin America,FIN-1068,27941.5,12853.09,19251.69,8689.81,9663.07
2024-06-28,2024,Q2,Jun,Corporate,North America,FIN-1069,73813.5,33954.21,50857.5,22956.0,25527.07
2024-06-28,2024,Q2,Jun,Commercial,Europe,FIN-1070,61123.5,28116.81,42114.09,19009.41,21138.46
2024-06-28,2024,Q2,Jun,Consumer,Asia Pacific,FIN-1071,45895.5,21111.93,31622.0,14273.5,15872.13
2024-06-28,2024,Q2,Jun,Other,Latin America,FIN-1072,30667.5,14107.05,21129.91,9537.59,10605.8
2024-07-28,2024,Q3,Jul,Corporate,North America,FIN-1073,78734.4,36217.82,54248.0,24486.4,27228.88
2024-07-28,2024,Q3,Jul,Commercial,Europe,FIN-1074,65198.4,29991.26,44921.7,20276.7,22547.69
2024-07-28,2024,Q3,Jul,Consumer,Asia Pacific,FIN-1075,48955.2,22519.39,33730.13,15225.07,16930.28
2024-07-28,2024,Q3,Jul,Other,Latin America,FIN-1076,32712.0,15047.52,22538.57,10173.43,11312.85
2024-08-28,2024,Q3,Aug,Corporate,North America,FIN-1077,74633.65,34331.48,51422.58,23211.07,25810.71
2024-08-28,2024,Q3,Aug,Commercial,Europe,FIN-1078,61802.65,28429.22,42582.03,19220.62,21373.33
2024-08-28,2024,Q3,Aug,Consumer,Asia Pacific,FIN-1079,46405.45,21346.51,31973.36,14432.09,16048.48
2024-08-28,2024,Q3,Aug,Other,Latin America,FIN-1080,31008.25,14263.8,21364.68,9643.57,10723.65
2024-09-28,2024,Q3,Sep,Corporate,North America,FIN-1081,84475.45,38858.71,58203.59,26271.86,29214.31
2024-09-28,2024,Q3,Sep,Commercial,Europe,FIN-1082,69952.45,32178.13,48197.24,21755.21,24191.79
2024-09-28,2024,Q3,Sep,Consumer,Asia Pacific,FIN-1083,52524.85,24161.43,36189.62,16335.23,18164.78
2024-09-28,2024,Q3,Sep,Other,Latin America,FIN-1084,35097.25,16144.74,24182.01,10915.24,12137.75
2024-10-28,2024,Q4,Oct,Corporate,North America,FIN-1085,81194.85,37349.63,55943.25,25251.6,28079.78
2024-10-28,2024,Q4,Oct,Commercial,Europe,FIN-1086,67235.85,30928.49,46325.5,20910.35,23252.31
2024-10-28,2024,Q4,Oct,Consumer,Asia Pacific,FIN-1087,50485.05,23223.12,34784.2,15700.85,17459.35
2024-10-28,2024,Q4,Oct,Other,Latin America,FIN-1088,33734.25,15517.76,23242.9,10491.35,11666.38
2024-11-28,2024,Q4,Nov,Corporate,North America,FIN-1089,59870.95,27540.64,41251.08,18619.87,20705.3
2024-11-28,2024,Q4,Nov,Commercial,Europe,FIN-1090,49577.95,22805.86,34159.21,15418.74,17145.64
2024-11-28,2024,Q4,Nov,Consumer,Asia Pacific,FIN-1091,37226.35,17124.12,25648.96,11577.39,12874.06
2024-11-28,2024,Q4,Nov,Other,Latin America,FIN-1092,24874.75,11442.39,17138.7,7736.05,8602.49
2024-12-28,2024,Q4,Dec,Corporate,North America,FIN-1093,62331.4,28672.44,42946.33,19385.07,21556.2
2024-12-28,2024,Q4,Dec,Commercial,Europe,FIN-1094,51615.4,23743.08,35563.01,16052.39,17850.26
2024-12-28,2024,Q4,Dec,Consumer,Asia Pacific,FIN-1095,38756.2,17827.85,26703.02,12053.18,13403.14
2024-12-28,2024,Q4,Dec,Other,Latin America,FIN-1096,25897.0,11912.62,17843.03,8053.97,8956.01
